,Current,Voltage
,-2.911E-04,-0.107
,-2.91E-04,-0.106
,-2.909E-04,-0.104
,-2.908E-04,-0.106
,-2.907E-04,-0.103
,-2.906E-04,-0.107
,-2.905E-04,-0.109
,-2.904E-04,-0.107
,-2.903E-04,-0.108
,-2.902E-04,-0.109
,-2.901E-04,-0.107
,-2.9E-04,-0.106
,-2.899E-04,-0.111
,-2.898E-04,-0.106
,-2.897E-04,-0.108
,-2.896E-04,-0.106
,-2.895E-04,-0.111
,-2.894E-04,-0.106
,-2.893E-04,-0.107
,-2.892E-04,-0.106
,-2.891E-04,-0.107
,-2.89E-04,-0.107
,-2.889E-04,-0.107
,-2.888E-04,-0.107
,-2.887E-04,-0.105
,-2.886E-04,-0.108
,-2.885E-04,-0.107
,-2.884E-04,-0.108
,-2.883E-04,-0.104
,-2.882E-04,-0.109
,-2.881E-04,-0.107
,-2.88E-04,-0.107
,-2.879E-04,-0.109
,-2.878E-04,-0.108
,-2.877E-04,-0.109
,-2.876E-04,-0.109
,-2.875E-04,-0.105
,-2.874E-04,-0.11
,-2.873E-04,-0.109
,-2.872E-04,-0.106
,-2.871E-04,-0.106
,-2.87E-04,-0.107
,-2.869E-04,-0.109
,-2.868E-04,-0.106
,-2.867E-04,-0.107
,-2.866E-04,-0.108
,-2.865E-04,-0.108
,-2.864E-04,-0.107
,-2.863E-04,-0.108
,-2.862E-04,-0.109
,-2.861E-04,-0.109
,-2.86E-04,-0.11
,-2.859E-04,-0.111
,-2.858E-04,-0.108
,-2.857E-04,-0.108
,-2.856E-04,-0.109
,-2.855E-04,-0.105
,-2.854E-04,-0.109
,-2.853E-04,-0.107
,-2.852E-04,-0.108
,-2.851E-04,-0.108
,-2.85E-04,-0.108
,-2.849E-04,-0.107
,-2.848E-04,-0.11
,-2.847E-04,-0.11
,-2.846E-04,-0.108
,-2.845E-04,-0.113
,-2.844E-04,-0.107
,-2.843E-04,-0.11
,-2.842E-04,-0.107
,-2.841E-04,-0.11
,-2.84E-04,-0.105
,-2.839E-04,-0.109
,-2.838E-04,-0.108
,-2.837E-04,-0.11
,-2.836E-04,-0.108
,-2.835E-04,-0.108
,-2.834E-04,-0.108
,-2.833E-04,-0.108
,-2.832E-04,-0.11
,-2.831E-04,-0.107
,-2.83E-04,-0.107
,-2.829E-04,-0.107
,-2.828E-04,-0.11
,-2.827E-04,-0.112
,-2.826E-04,-0.111
,-2.825E-04,-0.111
,-2.824E-04,-0.109
,-2.823E-04,-0.109
,-2.822E-04,-0.11
,-2.821E-04,-0.108
,-2.82E-04,-0.109
,-2.819E-04,-0.107
,-2.818E-04,-0.111
,-2.817E-04,-0.11
,-2.816E-04,-0.109
,-2.815E-04,-0.11
,-2.814E-04,-0.109
,-2.813E-04,-0.109
,-2.812E-04,-0.112
,-2.811E-04,-0.111
,-2.81E-04,-0.112
,-2.809E-04,-0.111
,-2.808E-04,-0.111
,-2.807E-04,-0.107
,-2.806E-04,-0.112
,-2.805E-04,-0.109
,-2.804E-04,-0.11
,-2.803E-04,-0.114
,-2.802E-04,-0.111
,-2.801E-04,-0.108
,-2.8E-04,-0.11
,-2.799E-04,-0.108
,-2.798E-04,-0.109
,-2.797E-04,-0.108
,-2.796E-04,-0.113
,-2.795E-04,-0.11
,-2.794E-04,-0.11
,-2.793E-04,-0.11
,-2.792E-04,-0.111
,-2.791E-04,-0.111
,-2.79E-04,-0.108
,-2.789E-04,-0.109
,-2.788E-04,-0.11
,-2.787E-04,-0.106
,-2.786E-04,-0.109
,-2.785E-04,-0.107
,-2.784E-04,-0.108
,-2.783E-04,-0.107
,-2.782E-04,-0.11
,-2.781E-04,-0.106
,-2.78E-04,-0.108
,-2.779E-04,-0.114
,-2.778E-04,-0.108
,-2.777E-04,-0.11
,-2.776E-04,-0.114
,-2.775E-04,-0.109
,-2.774E-04,-0.109
,-2.773E-04,-0.108
,-2.772E-04,-0.111
,-2.771E-04,-0.107
,-2.77E-04,-0.111
,-2.769E-04,-0.11
,-2.768E-04,-0.11
,-2.767E-04,-0.112
,-2.766E-04,-0.11
,-2.765E-04,-0.109
,-2.764E-04,-0.11
,-2.763E-04,-0.11
,-2.762E-04,-0.11
,-2.761E-04,-0.112
,-2.76E-04,-0.112
,-2.759E-04,-0.112
,-2.758E-04,-0.111
,-2.757E-04,-0.108
,-2.756E-04,-0.11
,-2.755E-04,-0.109
,-2.754E-04,-0.109
,-2.753E-04,-0.11
,-2.752E-04,-0.113
,-2.751E-04,-0.109
,-2.75E-04,-0.109
,-2.749E-04,-0.11
,-2.748E-04,-0.11
,-2.747E-04,-0.112
,-2.746E-04,-0.113
,-2.745E-04,-0.113
,-2.744E-04,-0.111
,-2.743E-04,-0.114
,-2.742E-04,-0.112
,-2.741E-04,-0.113
,-2.74E-04,-0.113
,-2.739E-04,-0.111
,-2.738E-04,-0.112
,-2.737E-04,-0.111
,-2.736E-04,-0.116
,-2.735E-04,-0.112
,-2.734E-04,-0.112
,-2.733E-04,-0.113
,-2.732E-04,-0.11
,-2.731E-04,-0.108
,-2.73E-04,-0.108
,-2.729E-04,-0.112
,-2.728E-04,-0.11
,-2.727E-04,-0.113
,-2.726E-04,-0.107
,-2.725E-04,-0.11
,-2.724E-04,-0.109
,-2.723E-04,-0.111
,-2.722E-04,-0.113
,-2.721E-04,-0.114
,-2.72E-04,-0.111
,-2.719E-04,-0.112
,-2.718E-04,-0.115
,-2.717E-04,-0.112
,-2.716E-04,-0.112
,-2.715E-04,-0.111
,-2.714E-04,-0.113
,-2.713E-04,-0.111
,-2.712E-04,-0.11
,-2.711E-04,-0.112
,-2.71E-04,-0.111
,-2.709E-04,-0.111
,-2.708E-04,-0.114
,-2.707E-04,-0.114
,-2.706E-04,-0.114
,-2.705E-04,-0.113
,-2.704E-04,-0.112
,-2.703E-04,-0.111
,-2.702E-04,-0.111
,-2.701E-04,-0.113
,-2.7E-04,-0.114
,-2.699E-04,-0.113
,-2.698E-04,-0.116
,-2.697E-04,-0.112
,-2.696E-04,-0.109
,-2.695E-04,-0.115
,-2.694E-04,-0.11
,-2.693E-04,-0.113
,-2.692E-04,-0.113
,-2.691E-04,-0.115
,-2.69E-04,-0.113
,-2.689E-04,-0.112
,-2.688E-04,-0.115
,-2.687E-04,-0.114
,-2.686E-04,-0.113
,-2.685E-04,-0.11
,-2.684E-04,-0.112
,-2.683E-04,-0.113
,-2.682E-04,-0.113
,-2.681E-04,-0.118
,-2.68E-04,-0.112
,-2.679E-04,-0.116
,-2.678E-04,-0.115
,-2.677E-04,-0.115
,-2.676E-04,-0.116
,-2.675E-04,-0.116
,-2.674E-04,-0.115
,-2.673E-04,-0.111
